"Part Number*","Reference","Value","Datasheet","Footprint","Qty","DNP"
"CBR04C109C5GAC","C67","1p","~","Capacitor_SMD:C_0402_1005Metric","1",""
"CBR04C159C5GAC","C66","1.5p","~","Capacitor_SMD:C_0402_1005Metric","1",""
" CBR04C479C5GAC","C71","4.7p","~","Capacitor_SMD:C_0402_1005Metric","1",""
"04025U140FAT2A","C76,C78","14p","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C0402C220K5GACTU","C61,C62","22p","~","Capacitor_SMD:C_0402_1005Metric","2",""
" C0402C102J5RACTU","C52,C54,C55","1n","~","Capacitor_SMD:C_0402_1005Metric","3",""
" C0402C222J5RACTUl","C70","2.2n","~","Capacitor_SMD:C_0402_1005Metric","1",""
"CHQ02-2N7J-RC","L6","2.7n","~","Inductor_SMD:L_0402_1005Metric","1",""
"WB0402T3N9SJ","L5","3.9n","~","Inductor_SMD:L_0402_1005Metric","1",""
"WB0402T8N2SJ","L4","8.2n","~","Inductor_SMD:L_0402_1005Metric","1",""
"C0402C103J3RACTU","C49","10n","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C0402C333J4RACTU","C57","33n","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C0402C104K4PACTU","C53,C58,C60,C65,C74,C75,C79,C80,C81,C82,C84,C89,C90,C91,C92","100n","~","Capacitor_SMD:C_0402_1005Metric","15",""
"GRM155R61E105KA12D","C8,C12,C15,C68,C83","1u","~","Capacitor_SMD:C_0402_1005Metric","5",""
"CC0402MRX5R6BB475,T491C106K016AT7280","C59,C77","4.7u","~","Capacitor_SMD:C_0402_1005Metric,Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R","2",""
"KAM05CT70E106KH","C56,C63","10u","~","Capacitor_SMD:C_0402_1005Metric","2",""
" AC0402FR-075R6L","R31","5.6","~","Resistor_SMD:R_0402_1005Metric","1",""
"RN73R1ETTP1421B25","R35","1421","~","Resistor_SMD:R_0402_1005Metric","1",""
"RT0402BRE0710KL","R32,R36","10k","~","Resistor_SMD:R_0402_1005Metric","2",""
"ERA-2AEB223X","R20","22k","~","Resistor_SMD:R_0402_1005Metric","1",""
"RE0402BRE071ML","R27","1M","~","Resistor_SMD:R_0402_1005Metric","1",""
"ERA-2AEB512X","R41,R42","5k1","~","Resistor_SMD:R_0402_1005Metric","2",""
"ECS-160-12-33Q-JES-TR","Y1","ECS-160-12-33Q-JES-TR","","ECS_160_12_33Q_JES_TR:XTAL_ECS-160-12-33Q-JES-TR","1",""
"ECS-80-12-30BQ-JES-TR","XTAL2","ECS-80-12-30BQ-JES-TR","ECS-80-12-30BQ-JES-TR","ECS-80-12-30BQ-JES-TR:XTAL_ECS-80-12-30BQ-JES-TR","1",""
"FTSH-107-01-L-DV-K-A","J12","FTSH-107-01-L-DV-K-A","","FTSH_107_01_L_DV_K_A:SAMTEC_FTSH-107-01-L-DV-K-A","1",""
"nRF24L01P","U10","nRF24L01P","http://www.nordicsemi.com/eng/content/download/2726/34069/file/nRF24L01P_Product_Specification_1_0.pdf","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","1",""
"SKRPABE010","S1,S2,S3","SKRPABE010","","SKRPABE010:SW_SKRPABE010","3",""
"STM32L552CCU6","U14","STM32L552CEUxP","https://www.st.com/resource/en/datasheet/stm32l552ce.pdf","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1",""
"TLV70019_SOT23-5","U11","TLV70019_SOT23-5","http://www.ti.com/lit/ds/symlink/tlv700.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
"TPS7A2133PQWDSGRQ1","IC1","TPS7A2133PQWDSGRQ1","https://www.ti.com/lit/ds/symlink/tps7a21-q1.pdf","TPS7A2133PQWDSGRQ1:SON50P200X200X80-9N","1",""
"USB4105-GF-A","J4","USB4105-GF-A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1",""
"USBLC6-2P6","U8","USBLC6-2P6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Package_TO_SOT_SMD:SOT-666","1",""
